"query","search interest","increase percent"
"scooter elétrica jet 1000w",2,"Breakout"
"scooter elétrica 2000w gloov",1,"Breakout"
"bike scooter elétrica harley citycoco 1500w",0,"Breakout"
"scooter elétrica jet",4,"1,700%"
"scooter elétrica x12",5,"850%"
"motinho elétrica",1,"300%"
"scooter elétrica 1000w",20,"300%"
"scooter eletrica shineray",3,"300%"
"shineray eletrica",3,"250%"
"scooter shineray elétrica",7,"250%"
"scooter elétrica shineray",7,"200%"
"scooter shineray",7,"200%"
"shineray scooter elétrica",7,"200%"
"shineray",7,"200%"
"scooter elétrica 5000w",2,"200%"
"scooter eletrica 1000w",5,"170%"
"como emplacar scooter elétrica",1,"160%"
"motinha elétrica",5,"150%"
"scooter elétrica 3000w preço",2,"140%"
"motinha eletrica",2,"140%"
"motinha elétrica scooter",5,"130%"
"scooter elétrica 3000w",17,"130%"
"valor de uma scooter elétrica",2,"130%"
"bicicleta elétrica 1000w",3,"120%"
"moto eletrica shineray",2,"120%"
"scooter elétrica 500w",4,"110%"
"scooter elétrica que não precisa de habilitação",2,"100%"
"moto eletrica precisa de cnh",1,"90%"
"capacete para scooter elétrica",2,"90%"
"moto eletrica adulto",4,"80%"
"scooter eletrica 3000w",5,"80%"
"moto elétrica shineray",3,"80%"
"scooter elétrica adulto",10,"70%"
"aluguel de scooter elétrica",2,"70%"
"moto elétrica scooter 3000w",5,"70%"
"valor scooter elétrica",10,"40%"
"valor da scooter elétrica",3,"40%"
"scooter precisa de habilitação",7,"40%"
"moto elétrica adulto",6,"40%"
"patinete eletrico adulto",1,"40%"
"quanto custa uma scooter elétrica",3,"30%"
"scooter elétrica precisa de habilitação",7,"30%"
"scooter elétrica bee u1",1,"30%"
"scooter eletrica precisa de cnh",2,"30%"
"scooter elétrica rj",5,"20%"
"triciclo elétrico",2,"20%"
"scooter eletrica rj",2,"10%"
"scooter eletrica precisa de habilitação",4,"10%"
"moto elétrica que não precisa de habilitação",1,"10%"
"scooter elétrica barata",4,"6%"