"Time","scooter elétrica"
"2021-04-01",15
"2021-05-01",14
"2021-06-01",14
"2021-07-01",17
"2021-08-01",22
"2021-09-01",24
"2021-10-01",21
"2021-11-01",22
"2021-12-01",18
"2022-01-01",23
"2022-02-01",24
"2022-03-01",40
"2022-04-01",31
"2022-05-01",31
"2022-06-01",23
"2022-07-01",24
"2022-08-01",18
"2022-09-01",18
"2022-10-01",16
"2022-11-01",17
"2022-12-01",17
"2023-01-01",19
"2023-02-01",21
"2023-03-01",24
"2023-04-01",23
"2023-05-01",23
"2023-06-01",25
"2023-07-01",20
"2023-08-01",24
"2023-09-01",23
"2023-10-01",21
"2023-11-01",23
"2023-12-01",30
"2024-01-01",28
"2024-02-01",25
"2024-03-01",26
"2024-04-01",24
"2024-05-01",26
"2024-06-01",28
"2024-07-01",26
"2024-08-01",29
"2024-09-01",32
"2024-10-01",33
"2024-11-01",32
"2024-12-01",36
"2025-01-01",46
"2025-02-01",49
"2025-03-01",52
"2025-04-01",48
"2025-05-01",47
"2025-06-01",36
"2025-07-01",44
"2025-08-01",52
"2025-09-01",55
"2025-10-01",58
"2025-11-01",58
"2025-12-01",59
"2026-01-01",63
"2026-02-01",76
"2026-03-01",96
"2026-04-01",100